Gene name (Gene ID)	Length	cDNA #	cDNA %
intergenic (.)	72336895	452	50.055370985603545
PRDM15 (ENSG00000141956.14)	80811	1	0.11074197120708748
HUNK (ENSG00000142149.9)	171614	2	0.22148394241417496
IFNAR1 (ENSG00000142166.13)	34910	1	0.11074197120708748
TRPM2 (ENSG00000142185.16)	92879	1	0.11074197120708748
TMEM50B (ENSG00000142188.17)	47490	1	0.11074197120708748
APP (ENSG00000142192.21)	290477	1	0.11074197120708748
DOP1B (ENSG00000142197.12)	137493	2	0.22148394241417496
CXADR (ENSG00000154639.19)	80428	1	0.11074197120708748
CHODL (ENSG00000154645.14)	366111	255	28.23920265780731
TMPRSS15 (ENSG00000154646.9)	216411	1	0.11074197120708748
NCAM2 (ENSG00000154654.15)	544921	4	0.4429678848283499
ADAMTS1 (ENSG00000154734.15)	9655	1	0.11074197120708748
ADAMTS5 (ENSG00000154736.6)	49167	1	0.11074197120708748
BACH1 (ENSG00000156273.16)	432580	1	0.11074197120708748
TIAM1 (ENSG00000156299.13)	441562	3	0.33222591362126247
DYRK1A (ENSG00000157540.22)	160786	2	0.22148394241417496
KCNJ6 (ENSG00000157542.11)	511473	5	0.5537098560354374
KCNJ15 (ENSG00000157551.19)	150866	1	0.11074197120708748
ERG (ENSG00000157554.19)	281754	5	0.5537098560354374
SYNJ1 (ENSG00000159082.18)	99282	1	0.11074197120708748
IFNGR2 (ENSG00000159128.15)	75936	1	0.11074197120708748
CLIC6 (ENSG00000159212.12)	48839	1	0.11074197120708748
RUNX1 (ENSG00000159216.19)	1215535	24	2.6578073089700998
CBR3 (ENSG00000159231.6)	11484	1	0.11074197120708748
CLDN14 (ENSG00000159261.12)	114337	3	0.33222591362126247
HLCS (ENSG00000159267.15)	240967	3	0.33222591362126247
ABCG1 (ENSG00000160179.19)	97442	2	0.22148394241417496
PDXK (ENSG00000160209.19)	43214	1	0.11074197120708748
RRP1 (ENSG00000160214.13)	15781	1	0.11074197120708748
CFAP410 (ENSG00000160226.16)	10459	2	0.22148394241417496
LSS (ENSG00000160285.15)	40684	1	0.11074197120708748
PCNT (ENSG00000160299.17)	121540	1	0.11074197120708748
PRMT2 (ENSG00000160310.18)	29530	17	1.8826135105204873
EVA1C (ENSG00000166979.13)	102892	3	0.33222591362126247
GRIK1 (ENSG00000171189.17)	403101	3	0.33222591362126247
DSCAM (ENSG00000171587.15)	835254	11	1.2181616832779625
TSPEAR (ENSG00000175894.18)	203929	4	0.4429678848283499
LINC00334 (ENSG00000182586.9)	30241	1	0.11074197120708748
COL18A1 (ENSG00000182871.16)	108495	1	0.11074197120708748
MX2 (ENSG00000183486.13)	47395	2	0.22148394241417496
B3GALT5 (ENSG00000183778.17)	116476	1	0.11074197120708748
CYYR1-AS1 (ENSG00000197934.8)	173843	4	0.4429678848283499
AP001042.1 (ENSG00000205622.11)	143590	2	0.22148394241417496
ITSN1 (ENSG00000205726.15)	257462	2	0.22148394241417496
C21orf62-AS1 (ENSG00000205930.10)	183338	2	0.22148394241417496
MIR99AHG (ENSG00000215386.13)	715906	6	0.6644518272425249
