3123
ENST00000624081	5011798	5017144	5017144	1	4	0	331
ENST00000612610	5022492	5040660	5017144	1	7	4	43
ENST00000620481	5022492	5040665	5040660	1	6	11	43
ENST00000623903	5022530	5034683	5040665	1	7	17	43
ENST00000623960	5022530	5036770	5040665	1	7	24	43
ENST00000623795	5022532	5036124	5040665	1	6	31	43
ENST00000623188	5073457	5087866	5040665	1	2	37	44
ENST00000624810	5079293	5127926	5087866	2	6	39	66
ENST00000625036	5079293	5127926	5127926	2	5	45	66
ENST00000620015	5116340	5127142	5127926	2	6	50	66
ENST00000620528	5116340	5128368	5127926	2	7	56	66
ENST00000623476	5116342	5133804	5128368	2	7	63	212
ENST00000624120	5116936	5128371	5133804	2	6	70	66
ENST00000624748	5120633	5124867	5133804	2	3	76	66
ENST00000624648	5120633	5128272	5133804	2	6	79	66
ENST00000623810	5120635	5128412	5133804	2	5	85	66
ENST00000624714	5121448	5128377	5133804	2	5	90	66
ENST00000623390	5122012	5127926	5133804	2	4	95	66
ENST00000622915	5124485	5125177	5133804	2	2	99	66
ENST00000617716	5130870	5154657	5133804	2	21	101	152
ENST00000632537	5133452	5136042	5154657	2	6	122	152
ENST00000623011	5134198	5142895	5154657	2	6	128	152
ENST00000624312	5136987	5137938	5154657	2	2	134	152
ENST00000633442	5143221	5144723	5154657	2	3	136	152
ENST00000633593	5143221	5145444	5154657	2	3	139	152
ENST00000634020	5147348	5154526	5154657	2	5	142	152
ENST00000634021	5147389	5154246	5154657	2	5	147	152
ENST00000623998	5155498	5163694	5154657	2	3	152	268
ENST00000623744	5157011	5165471	5163694	2	3	155	268
ENST00000623753	5232667	5243832	5165471	2	2	158	326
ENST00000624261	5499150	5502541	5243832	2	3	160	410
ENST00000624859	5499154	5502496	5502541	2	3	163	410
ENST00000623227	5499556	5502496	5502541	2	2	166	410
ENST00000619252	5553636	5590199	5502541	1	3	168	17
ENST00000623449	5553658	5590177	5590199	1	4	171	17
ENST00000623436	5553668	5590682	5590199	1	2	175	17
ENST00000624627	5553668	5591227	5590682	1	4	177	17
ENST00000624368	5553678	5588645	5591227	1	5	181	17
ENST00000623914	5553702	5614879	5591227	1	4	186	17
ENST00000624516	5553706	5586368	5614879	1	2	190	17
ENST00000624412	5553709	5588785	5614879	1	3	192	17
ENST00000622939	5553716	5588183	5614879	1	4	195	17
ENST00000623050	5565962	5591233	5614879	1	3	199	17
ENST00000624444	5582227	5592003	5614879	1	2	202	17
ENST00000623887	5583465	5589527	5614879	1	2	204	17
ENST00000611026	5585777	5592002	5614879	1	2	206	17
ENST00000610788	5597389	5597489	5614879	1	1	208	411
ENST00000624506	5703181	5705636	5614879	2	1	209	84
ENST00000623587	5705344	5707159	5705636	1	2	210	296
ENST00000623723	5707003	5709455	5707159	2	2	212	53
ENST00000464664	5972923	5973382	5709455	2	1	214	126
ENST00000623928	6008603	6008809	5973382	1	1	215	48
ENST00000624240	6034689	6036092	6008809	1	1	216	406
ENST00000624561	6060339	6076304	6036092	1	4	217	137
ENST00000624105	6066968	6068127	6076304	1	2	221	137
ENST00000624113	6073291	6076134	6076304	1	2	223	137
ENST00000623161	6073347	6076152	6076304	1	4	225	137
ENST00000623549	6073448	6076102	6076304	1	3	229	137
ENST00000623983	6081192	6082584	6076304	1	2	232	57
ENST00000623297	6084363	6088241	6082584	2	3	234	28
ENST00000624872	6084380	6091406	6088241	2	4	237	28
