892
ENSG00000286057	ENSG00000286057	TEC
ENSG00000286146	ENSG00000286146	TEC
ENSG00000278678	CYCSP41	processed_pseudogene
ENSG00000279647	ENSG00000279647	unprocessed_pseudogene
ENSG00000280372	ENSG00000280372	TEC
ENSG00000232797	FAM207CP	processed_pseudogene
ENSG00000179381	OR4K11P	unprocessed_pseudogene
ENSG00000273692	LONRF2P5	processed_pseudogene
ENSG00000278931	ENSG00000278931	unprocessed_pseudogene
ENSG00000286148	ENSG00000286148	TEC
ENSG00000231201	ENSG00000231201	lncRNA
ENSG00000280436	ENSG00000280436	unprocessed_pseudogene
ENSG00000279720	SOWAHCP2	processed_pseudogene
ENSG00000279477	ENSG00000279477	unprocessed_pseudogene
ENSG00000279303	ENSG00000279303	TEC
ENSG00000280432	ENSG00000280432	TEC
ENSG00000270139	ENSG00000270139	lncRNA
ENSG00000274333	ENSG00000274333	lncRNA
ENSG00000278381	ENSG00000278381	processed_pseudogene
ENSG00000280614	ENSG00000280614	lncRNA
ENSG00000230965	SNX18P13	processed_pseudogene
ENSG00000280018	ENSG00000280018	lncRNA
ENSG00000280330	CTBP2P10	processed_pseudogene
ENSG00000278955	ENSG00000278955	lncRNA
ENSG00000240770	C21orf91-OT1	lncRNA
ENSG00000234159	RBPMSLP	processed_pseudogene
ENSG00000229336	SREK1IP1P1	processed_pseudogene
ENSG00000279062	CDRT15P8	unprocessed_pseudogene
ENSG00000280179	CH507-42P11.6	lncRNA
ENSG00000287066	ENSG00000287066	lncRNA
ENSG00000224141	MIR548XHG	lncRNA
ENSG00000233676	FDPSP6	processed_pseudogene
ENSG00000226580	RPL39P40	processed_pseudogene
ENSG00000235965	ENSG00000235965	lncRNA
ENSG00000227075	ENSG00000227075	lncRNA
ENSG00000225735	NEK4P1	processed_pseudogene
ENSG00000232193	ENSG00000232193	lncRNA
ENSG00000288094	ENSG00000288094	lncRNA
ENSG00000226771	ENSG00000226771	lncRNA
ENSG00000224860	GXYLT1P2	processed_pseudogene
ENSG00000198618	PPIAP22	processed_pseudogene
ENSG00000226818	SLC6A6P1	processed_pseudogene
ENSG00000229231	FEM1AP1	processed_pseudogene
ENSG00000277117	ENSG00000277117	protein_coding
ENSG00000279687	ENSG00000279687	lncRNA
ENSG00000279177	CTBP2P9	processed_pseudogene
ENSG00000286033	ENSG00000286033	lncRNA
ENSG00000234340	ENSG00000234340	processed_pseudogene
ENSG00000280013	ENSG00000280013	processed_pseudogene
ENSG00000231755	CHODL-AS1	lncRNA
ENSG00000228592	D21S2088E	lncRNA
ENSG00000237569	TUBAP1	processed_pseudogene
ENSG00000286155	ENSG00000286155	TEC
ENSG00000279064	ENSG00000279064	lncRNA
ENSG00000154646	TMPRSS15	protein_coding
ENSG00000275592	VN1R7P	processed_pseudogene
ENSG00000219368	ZNF299P	processed_pseudogene
ENSG00000280095	ENSG00000280095	lncRNA
ENSG00000288578	ENSG00000288578	lncRNA
ENSG00000277991	ENSG00000277991	lncRNA
ENSG00000279390	ENSG00000279390	TEC
ENSG00000225906	ENSG00000225906	processed_pseudogene
ENSG00000281903	LINC02246	lncRNA
ENSG00000278961	SMIM34B	protein_coding
ENSG00000228184	SNX19P1	processed_pseudogene
ENSG00000244278	ENSG00000244278	lncRNA
ENSG00000280071	GATD3B	protein_coding
ENSG00000287801	ENSG00000287801	lncRNA
ENSG00000276077	ENSG00000276077	lncRNA
