chr21	5011875	5012547	+
chr21	5012688	5014385	+
chr21	5014472	5016934	+
chr21	5022694	5025008	+
chr21	5025050	5026279	+
chr21	5025050	5026431	+
chr21	5025050	5027934	+
chr21	5026631	5027934	+
chr21	5028226	5032052	+
chr21	5032218	5033407	+
chr21	5033444	5034581	+
chr21	5033444	5040584	+
chr21	5073686	5087616	+
chr21	5079297	5079683	-
chr21	5079735	5121710	-
chr21	5079735	5124755	-
chr21	5117232	5118690	-
chr21	5118848	5121710	-
chr21	5118848	5124755	-
chr21	5120890	5121710	-
chr21	5121112	5121710	-
chr21	5121804	5124755	-
chr21	5122201	5124755	-
chr21	5124876	5125024	-
chr21	5124876	5125878	-
chr21	5125993	5127083	-
chr21	5125993	5127897	-
chr21	5125993	5128213	-
chr21	5125993	5133425	-
chr21	5127951	5128213	-
chr21	5131456	5133425	-
chr21	5133501	5133654	-
chr21	5133806	5133901	-
chr21	5134121	5134360	-
chr21	5134121	5135088	-
chr21	5134480	5135088	-
chr21	5135155	5135934	-
chr21	5136044	5137326	-
chr21	5137475	5137877	-
chr21	5137475	5139697	-
chr21	5139879	5140952	-
chr21	5141104	5141276	-
chr21	5141425	5141558	-
chr21	5141708	5142531	-
chr21	5142669	5143221	-
chr21	5143293	5144090	-
chr21	5144235	5144423	-
chr21	5144235	5145237	-
chr21	5144235	5146136	-
chr21	5146367	5146657	-
chr21	5146794	5147288	-
chr21	5147433	5147778	-
chr21	5147879	5148209	-
chr21	5148305	5152960	-
chr21	5153074	5154059	-
chr21	5153074	5154360	-
chr21	5153074	5154622	-
chr21	5158760	5159079	-
chr21	5159275	5163517	-
chr21	5232925	5243702	-
chr21	5499810	5499998	-
chr21	5499968	5500066	-
chr21	5500102	5502368	-
chr21	5553839	5566124	+
chr21	5553839	5579669	+
chr21	5553839	5584809	+
chr21	5553839	5585822	+
chr21	5553839	5590018	+
chr21	5566184	5585822	+
chr21	5579809	5584809	+
chr21	5584976	5585822	+
chr21	5585064	5585822	+
