33
0	154	1	0	0
12581	12756	1	1	1
43128	43325	1	0	0
43986	44109	1	0	0
45271	45662	1	0	0
147666	148060	2	2	2
147674	148060	2	2	3
149004	149061	2	2	3
158311	158398	2	2	3
171850	172858	2	2	4
172631	172858	2	2	5
173491	173576	2	2	2
173491	173576	2	2	5
173491	173730	2	2	3
173491	173730	2	2	4
173930	174117	2	2	2
173930	174117	2	2	3
173930	174117	2	2	5
174823	174937	2	2	2
174823	174937	2	2	5
174972	176271	2	2	6
175429	175479	2	2	5
175849	176271	2	2	2
176137	176259	2	2	7
178183	178358	2	2	3
179593	179765	2	2	4
182411	182589	2	2	2
203520	203767	2	2	6
203768	203856	1	3	8
332529	332688	1	4	9
368050	368301	2	5	10
369211	369329	2	5	10
429153	429219	2	5	10
